Matricula,Nombre,Carrera,Parcial1,Parcial2,Parcial3,Promedio,Estatus
2026013,Andrea Vargas,Sistemas,98,97,99,98.0,Aprobado
2026003,María García,Sistemas,100,95,98,97.66666666666667,Aprobado
2026017,Brenda Ortiz,Sistemas,94,96,95,95.0,Aprobado
2026007,Valeria Cruz,Sistemas,95,92,96,94.33333333333333,Aprobado
2026010,Miguel Sánchez,Sistemas,92,89,94,91.66666666666667,Aprobado
2026001,Ana López,Sistemas,90,95,88,91.0,Aprobado
2026019,Camila Vega,Sistemas,89,91,90,90.0,Aprobado
2026015,Paola Jiménez,Sistemas,87,90,85,87.33333333333333,Aprobado
2026008,Diego Flores,Sistemas,88,84,90,87.33333333333333,Aprobado
2026005,Sofía Ramírez,Sistemas,85,90,87,87.33333333333333,Aprobado
2026020,Emilio Rojas,Sistemas,82,84,86,84.0,Aprobado
2026012,José Morales,Sistemas,80,85,83,82.66666666666667,Aprobado
2026009,Fernanda Ruiz,Sistemas,78,82,80,80.0,Aprobado
2026002,Carlos Pérez,Sistemas,75,80,78,77.66666666666667,Aprobado
2026006,Luis Torres,Sistemas,70,75,80,75.0,Aprobado
2026016,Daniel Romero,Sistemas,72,78,74,74.66666666666667,Aprobado
2026018,Hugo Navarro,Sistemas,68,72,70,70.0,Aprobado
2026011,Karen Mendoza,Sistemas,65,70,68,67.66666666666667,Reprobado
2026004,Juan Hernández,Sistemas,60,70,65,65.0,Reprobado
2026014,Ricardo Castro,Sistemas,55,60,58,57.666666666666664,Reprobado
